method,stage,frequency_um_inv,period_um,frc,threshold_1_7,threshold_half_bit,n_ring_pixels,hr_pitch_um,pixel_size_um
maptv_new_vs_drz,before,0.045535714285714284,21.96078431372549,0.6185135114884228,0.14285714285714285,0.1959242922263356,3470,10.0,20.0
maptv_new_vs_drz,before,0.045647321428571426,21.90709046454768,0.5929024042175652,0.14285714285714285,0.1959312255268662,3468,10.0,20.0
maptv_new_vs_drz,before,0.04575892857142857,21.853658536585368,0.6257481460684693,0.14285714285714285,0.19578005236369755,3512,10.0,20.0
maptv_new_vs_drz,before,0.04587053571428571,21.800486618004868,0.6464628736565188,0.14285714285714285,0.1957460872064342,3522,10.0,20.0
maptv_new_vs_drz,before,0.04598214285714285,21.74757281553398,0.6501830190612921,0.14285714285714285,0.19567186631260183,3544,10.0,20.0
maptv_new_vs_drz,before,0.046093749999999996,21.69491525423729,0.6132913526407542,0.14285714285714285,0.19601489165878555,3444,10.0,20.0
maptv_new_vs_drz,before,0.04620535714285714,21.64251207729469,0.6448961326290138,0.14285714285714285,0.19554526746979894,3582,10.0,20.0
maptv_new_vs_drz,before,0.04631696428571429,21.59036144578313,0.6515386528724845,0.14285714285714285,0.19557838863500912,3572,10.0,20.0
maptv_new_vs_drz,before,0.04642857142857143,21.538461538461537,0.6503468868229741,0.14285714285714285,0.19587592500046092,3484,10.0,20.0
maptv_new_vs_drz,before,0.04654017857142857,21.48681055155875,0.6586538169565247,0.14285714285714285,0.19536229896004664,3638,10.0,20.0
maptv_new_vs_drz,before,0.046651785714285715,21.43540669856459,0.6577876796788787,0.14285714285714285,0.19572577688551,3528,10.0,20.0
maptv_new_vs_drz,before,0.04676339285714286,21.384248210023866,0.6694620976525258,0.14285714285714285,0.19565844520659162,3548,10.0,20.0
maptv_new_vs_drz,before,0.046875,21.333333333333332,0.6685169887480933,0.14285714285714285,0.19540115234939126,3626,10.0,20.0
maptv_new_vs_drz,before,0.04698660714285714,21.282660332541568,0.6748105468087028,0.14285714285714285,0.19544672377293545,3612,10.0,20.0
maptv_new_vs_drz,before,0.047098214285714285,21.232227488151658,0.6562236341241566,0.14285714285714285,0.1954663349047849,3606,10.0,20.0
